Trip_ID,Route_ID,Route_Name,Operator_Name,Bus_Number,Bus_Type,Departure_City,Arrival_City,Date,Day_Type,Departure_Time,Arrival_Time,Scheduled_Duration_Minutes,Actual_Duration_Minutes,Delay_Minutes,Passenger_Count,Bus_Capacity,Occupancy_Rate (%),Ticket_Fare_PKR,Ticket_Revenue_PKR,Fuel_Consumption_Liters,Driver_ID,Weather_Condition,Traffic_Level,Trip_Status
TRP-00025,RT-021,Islamabad to Sialkot,City Metro Bus,SGD-2988,AC,Islamabad,Sialkot,22-08-2025,Weekday,08:35,14:26,306,351,45,32,57,56.1,325,10400,81.3,DRV-0141,Cloudy,High,Completed
TRP-00026,RT-008,Rawalpindi to Islamabad,National Express PK,SGD-5050,AC,Rawalpindi,Islamabad,23-11-2025,Weekend,12:40,13:56,62,76,14,31,60,51.7,80,2480,5.5,DRV-0139,Sunny,Moderate,Completed
TRP-00027,RT-012,Islamabad to Rawalpindi,Punjab Transit,LEA-7797,Mini Bus,Islamabad,Rawalpindi,28-07-2025,Weekday,14:40,16:09,61,89,28,27,31,87.1,85,2295,3.1,DRV-0098,Sunny,High,Completed
TRP-00028,RT-004,Quetta to Multan,Blue Line Transit,SGD-7865,Mini Bus,Quetta,Multan,03-10-2025,Weekday,21:45,--:--,571,0,0,0,32,0.0,695,0,0.0,DRV-0087,Sunny,Moderate,Cancelled
TRP-00029,RT-015,Islamabad to Peshawar,Punjab Transit,MUL-1441,Hybrid,Islamabad,Peshawar,21-07-2025,Weekday,22:45,02:37,231,232,1,18,37,48.6,265,4770,41.8,DRV-0084,Cloudy,Low,Completed
TRP-00030,RT-004,Quetta to Multan,Blue Line Transit,SGD-7906,Standard,Quetta,Multan,10-05-2025,Weekend,06:35,18:47,696,732,36,33,36,91.7,610,20130,148.8,DRV-0052,Dust Storm,Low,Completed
TRP-00031,RT-022,Sialkot to Islamabad,National Express PK,MUL-4571,Electric,Sialkot,Islamabad,27-08-2025,Weekday,12:25,18:47,349,382,33,38,59,64.4,300,11400,14.4,DRV-0080,Dust Storm,Moderate,Completed
TRP-00032,RT-023,Sialkot to Peshawar,Pak Urban Transport,QTA-4978,Standard,Sialkot,Peshawar,22-02-2025,Weekend,13:50,23:14,499,564,65,27,38,71.1,540,14580,124.7,DRV-0108,Rainy,Moderate,Delayed
TRP-00033,RT-024,Peshawar to Lahore,National Express PK,PES-3885,Mini Bus,Peshawar,Lahore,25-09-2025,Weekday,12:45,22:19,530,574,44,26,33,78.8,630,16380,90.8,DRV-0023,Rainy,Moderate,Completed
TRP-00034,RT-011,Rawalpindi to Peshawar,National Express PK,QTA-7209,AC,Rawalpindi,Peshawar,22-06-2025,Weekend,04:35,08:06,203,211,8,43,45,95.6,235,10105,56.3,DRV-0071,Sunny,Low,Completed
TRP-00035,RT-025,Hyderabad to Rawalpindi,Blue Line Transit,SGD-4937,AC,Hyderabad,Rawalpindi,20-12-2025,Weekend,19:50,18:31,1335,1361,26,43,54,79.6,1480,63640,503.6,DRV-0142,Rainy,Low,Completed
TRP-00036,RT-026,Sialkot to Lahore,Sindh Rapid Transit,PES-5438,AC,Sialkot,Lahore,06-06-2025,Weekday,12:15,15:36,180,201,21,21,46,45.7,180,3780,45.9,DRV-0124,Sunny,High,Completed
TRP-00037,RT-007,Lahore to Karachi,Capital Bus Service,SGD-4180,Hybrid,Lahore,Karachi,01-06-2025,Weekend,11:25,08:56,1266,1291,25,27,35,77.1,1395,37665,229.8,DRV-0126,Cloudy,Low,Delayed
TRP-00038,RT-005,Hyderabad to Karachi,National Express PK,ISB-4020,AC,Hyderabad,Karachi,27-01-2025,Weekday,12:35,16:35,239,240,1,18,42,42.9,220,3960,58.3,DRV-0145,Sunny,Low,Completed
TRP-00039,RT-027,Lahore to Rawalpindi,Blue Line Transit,SGD-4697,Electric,Lahore,Rawalpindi,25-09-2025,Weekday,16:35,23:50,376,435,59,41,49,83.7,470,19270,24.0,DRV-0026,Foggy,High,Completed
TRP-00040,RT-028,Rawalpindi to Sialkot,Green Line Express,KHI-2229,Standard,Rawalpindi,Sialkot,22-03-2025,Weekend,04:30,09:47,303,317,14,24,50,48.0,320,7680,59.2,DRV-0068,Sunny,Low,Completed
TRP-00041,RT-029,Sialkot to Rawalpindi,Pak Urban Transport,ISB-3330,Electric,Sialkot,Rawalpindi,06-02-2025,Weekday,05:10,10:22,278,312,34,41,59,69.5,300,12300,12.8,DRV-0070,Rainy,Moderate,Completed
TRP-00042,RT-011,Rawalpindi to Peshawar,City Metro Bus,QTA-6280,Hybrid,Rawalpindi,Peshawar,06-11-2025,Weekday,12:00,16:53,248,293,45,20,35,57.1,255,5100,35.9,DRV-0167,Dust Storm,Moderate,Completed
TRP-00043,RT-030,Peshawar to Islamabad,Blue Line Transit,PES-2494,Electric,Peshawar,Islamabad,29-08-2025,Weekday,15:30,20:22,252,292,40,35,43,81.4,250,8750,10.2,DRV-0141,Rainy,Low,Completed
TRP-00044,RT-031,Lahore to Faisalabad,Sindh Rapid Transit,SGD-7622,Standard,Lahore,Faisalabad,21-09-2025,Weekend,04:50,07:39,154,169,15,41,49,83.7,195,7995,35.7,DRV-0053,Sunny,Low,Completed
TRP-00045,RT-008,Rawalpindi to Islamabad,National Express PK,PES-2989,Hybrid,Rawalpindi,Islamabad,15-01-2025,Weekday,11:55,13:18,52,83,31,30,44,68.2,85,2550,3.2,DRV-0040,Cloudy,Moderate,Delayed
TRP-00046,RT-022,Sialkot to Islamabad,Capital Bus Service,PES-8736,AC,Sialkot,Islamabad,05-05-2025,Weekday,18:40,01:01,352,381,29,24,46,52.2,340,8160,79.8,DRV-0130,Foggy,Moderate,Completed
TRP-00047,RT-016,Karachi to Hyderabad,Capital Bus Service,MUL-9022,Mini Bus,Karachi,Hyderabad,18-03-2025,Weekday,18:40,22:32,216,232,16,25,30,83.3,225,5625,32.0,DRV-0062,Cloudy,Moderate,Completed
TRP-00048,RT-011,Rawalpindi to Peshawar,National Express PK,SGD-7246,Mini Bus,Rawalpindi,Peshawar,17-07-2025,Weekday,08:35,12:10,197,215,18,17,27,63.0,255,4335,31.8,DRV-0117,Cloudy,Moderate,Completed
TRP-00049,RT-012,Islamabad to Rawalpindi,Punjab Transit,SGD-5342,Standard,Islamabad,Rawalpindi,23-06-2025,Weekday,16:50,18:44,49,114,65,36,45,80.0,85,3060,4.3,DRV-0018,Rainy,High,Completed
TRP-00050,RT-009,Faisalabad to Islamabad,Pak Urban Transport,PES-2612,Mini Bus,Faisalabad,Islamabad,21-11-2025,Weekday,07:35,14:23,378,408,30,16,29,55.2,395,6320,57.1,DRV-0038,Foggy,Low,Completed
TRP-00051,RT-026,Sialkot to Lahore,Punjab Transit,LEA-7267,Standard,Sialkot,Lahore,14-11-2025,Weekday,11:35,14:26,147,171,24,31,39,79.5,180,5580,32.4,DRV-0174,Sunny,High,Completed
TRP-00052,RT-031,Lahore to Faisalabad,Sindh Rapid Transit,ISB-7951,Hybrid,Lahore,Faisalabad,20-12-2025,Weekend,12:35,16:40,155,245,90,39,41,95.1,185,7215,27.5,DRV-0169,Dust Storm,High,Delayed
TRP-00053,RT-005,Hyderabad to Karachi,City Metro Bus,QTA-9138,Hybrid,Hyderabad,Karachi,27-05-2025,Weekday,11:45,15:38,199,233,34,17,42,40.5,230,3910,33.9,DRV-0161,Cloudy,High,Completed
TRP-00054,RT-032,Faisalabad to Quetta,Sindh Rapid Transit,LEA-5835,Mini Bus,Faisalabad,Quetta,17-06-2025,Weekday,17:10,08:37,904,927,23,16,33,48.5,920,14720,131.6,DRV-0124,Foggy,Low,Completed
TRP-00055,RT-014,Multan to Faisalabad,National Express PK,KHI-4696,Hybrid,Multan,Faisalabad,13-12-2025,Weekend,16:40,21:57,297,317,20,32,47,68.1,290,9280,47.9,DRV-0096,Sunny,Moderate,Completed
TRP-00056,RT-033,Multan to Lahore,Sindh Rapid Transit,KHI-2035,Hybrid,Multan,Lahore,22-11-2025,Weekend,18:55,02:03,395,428,33,28,48,58.3,405,11340,62.5,DRV-0035,Sunny,Low,Delayed
TRP-00057,RT-034,Multan to Quetta,Blue Line Transit,QTA-3531,Electric,Multan,Quetta,01-08-2025,Weekday,07:35,17:48,606,613,7,37,48,77.1,630,23310,31.6,DRV-0026,Sunny,Low,Completed
TRP-00058,RT-035,Hyderabad to Multan,Sindh Rapid Transit,ISB-4109,Standard,Hyderabad,Multan,04-03-2025,Weekday,18:05,07:47,804,822,18,16,35,45.7,910,14560,231.4,DRV-0142,Sunny,Low,Completed
TRP-00059,RT-006,Lahore to Multan,Pak Urban Transport,KHI-1046,AC,Lahore,Multan,22-05-2025,Weekday,08:10,15:17,374,427,53,16,45,35.6,430,6880,121.6,DRV-0068,Sunny,High,Delayed
TRP-00060,RT-022,Sialkot to Islamabad,Green Line Express,PES-8344,Mini Bus,Sialkot,Islamabad,05-07-2025,Weekend,20:45,03:03,355,378,23,26,33,78.8,340,8840,41.7,DRV-0016,Sunny,Moderate,Completed
TRP-00061,RT-023,Sialkot to Peshawar,National Express PK,PES-2204,Mini Bus,Sialkot,Peshawar,11-02-2025,Weekday,14:45,00:18,554,573,19,23,27,85.2,585,13455,85.7,DRV-0136,Sunny,Moderate,Completed
TRP-00062,RT-014,Multan to Faisalabad,Green Line Express,LEA-4522,Mini Bus,Multan,Faisalabad,09-08-2025,Weekend,18:15,23:25,293,310,17,20,32,62.5,310,6200,44.5,DRV-0122,Sunny,Moderate,Completed
TRP-00063,RT-031,Lahore to Faisalabad,Green Line Express,ISB-3131,Mini Bus,Lahore,Faisalabad,12-10-2025,Weekend,05:45,08:29,151,164,13,31,33,93.9,195,6045,21.7,DRV-0074,Sunny,Low,Completed
TRP-00064,RT-006,Lahore to Multan,Pak Urban Transport,PES-4674,Standard,Lahore,Multan,25-02-2025,Weekday,15:40,22:57,389,437,48,30,43,69.8,405,12150,95.8,DRV-0143,Cloudy,High,Completed
TRP-00065,RT-009,Faisalabad to Islamabad,Capital Bus Service,ISB-6062,Standard,Faisalabad,Islamabad,23-06-2025,Weekday,15:00,21:39,376,399,23,15,39,38.5,415,6225,98.4,DRV-0136,Cloudy,Moderate,Completed
TRP-00066,RT-013,Lahore to Sialkot,Punjab Transit,QTA-6314,AC,Lahore,Sialkot,18-10-2025,Weekend,06:00,09:12,179,192,13,42,59,71.2,180,7560,41.1,DRV-0070,Sunny,Low,Completed
TRP-00067,RT-036,Faisalabad to Multan,Blue Line Transit,QTA-8972,Standard,Faisalabad,Multan,27-09-2025,Weekend,13:00,18:13,309,313,4,30,36,83.3,290,8700,58.9,DRV-0031,Sunny,Low,Completed
TRP-00068,RT-022,Sialkot to Islamabad,Punjab Transit,QTA-4770,AC,Sialkot,Islamabad,14-09-2025,Weekend,21:50,03:03,295,313,18,39,42,92.9,300,11700,77.2,DRV-0147,Sunny,Moderate,Completed
TRP-00069,RT-017,Islamabad to Faisalabad,Green Line Express,ISB-3815,AC,Islamabad,Faisalabad,13-11-2025,Weekday,18:55,00:27,320,332,12,26,42,61.9,425,11050,98.9,DRV-0102,Sunny,Low,Completed
TRP-00070,RT-037,Multan to Rawalpindi,Punjab Transit,QTA-2868,Standard,Multan,Rawalpindi,29-09-2025,Weekday,20:15,06:27,591,612,21,18,46,39.1,675,12150,174.7,DRV-0066,Sunny,High,Completed
TRP-00071,RT-038,Karachi to Lahore,Green Line Express,SGD-9095,Standard,Karachi,Lahore,26-08-2025,Weekday,22:45,19:29,1193,1244,51,30,45,66.7,1310,39300,387.2,DRV-0071,Foggy,High,Completed
TRP-00072,RT-039,Multan to Hyderabad,National Express PK,LEA-7041,AC,Multan,Hyderabad,27-05-2025,Weekday,06:50,20:00,770,790,20,24,42,57.1,915,21960,231.1,DRV-0147,Cloudy,Moderate,Completed
TRP-00073,RT-004,Quetta to Multan,City Metro Bus,SGD-6626,AC,Quetta,Multan,13-02-2025,Weekday,20:50,08:35,671,705,34,25,47,53.2,655,16375,174.8,DRV-0073,Cloudy,High,Completed
TRP-00074,RT-034,Multan to Quetta,City Metro Bus,QTA-6482,Mini Bus,Multan,Quetta,03-02-2025,Weekday,14:05,00:43,614,638,24,16,31,51.6,630,10080,91.6,DRV-0150,Sunny,Moderate,Completed
TRP-00075,RT-036,Faisalabad to Multan,Blue Line Transit,QTA-2388,Standard,Faisalabad,Multan,08-06-2025,Weekend,21:30,02:43,276,313,37,30,45,66.7,300,9000,63.2,DRV-0080,Rainy,Moderate,Completed
TRP-00076,RT-033,Multan to Lahore,National Express PK,KHI-3538,Standard,Multan,Lahore,09-02-2025,Weekend,13:05,20:03,377,418,41,18,36,50.0,390,7020,92.3,DRV-0178,Cloudy,High,Completed
TRP-00077,RT-040,Islamabad to Quetta,Sindh Rapid Transit,KHI-8277,Electric,Islamabad,Quetta,09-11-2025,Weekend,13:55,05:30,920,935,15,41,47,87.2,1190,48790,57.6,DRV-0174,Cloudy,Low,Completed
TRP-00078,RT-041,Sialkot to Quetta,Blue Line Transit,PES-3655,AC,Sialkot,Quetta,13-04-2025,Weekend,08:20,01:22,969,1022,53,45,55,81.8,955,42975,294.4,DRV-0132,Foggy,Moderate,Delayed
TRP-00079,RT-013,Lahore to Sialkot,Pak Urban Transport,ISB-1436,Mini Bus,Lahore,Sialkot,01-08-2025,Weekday,05:30,08:22,162,172,10,23,28,82.1,210,4830,21.6,DRV-0167,Sunny,Low,Completed
TRP-00080,RT-012,Islamabad to Rawalpindi,Capital Bus Service,PES-3273,Hybrid,Islamabad,Rawalpindi,28-12-2025,Weekend,19:35,20:41,47,66,19,23,37,62.2,80,1840,3.3,DRV-0029,Sunny,Low,Completed
TRP-00081,RT-042,Rawalpindi to Faisalabad,Pak Urban Transport,SGD-8489,AC,Rawalpindi,Faisalabad,02-02-2025,Weekend,07:35,14:14,381,399,18,18,40,45.0,365,6570,103.9,DRV-0147,Cloudy,Moderate,Completed
TRP-00082,RT-009,Faisalabad to Islamabad,Sindh Rapid Transit,MUL-9914,Standard,Faisalabad,Islamabad,17-09-2025,Weekday,20:40,03:11,391,391,0,26,50,52.0,385,10010,93.3,DRV-0018,Sunny,Low,Completed
TRP-00083,RT-021,Islamabad to Sialkot,Green Line Express,QTA-6447,Mini Bus,Islamabad,Sialkot,10-03-2025,Weekday,05:25,11:00,315,335,20,26,35,74.3,330,8580,45.6,DRV-0017,Sunny,Moderate,Completed
TRP-00084,RT-043,Quetta to Karachi,City Metro Bus,LEA-6170,Mini Bus,Quetta,Karachi,08-06-2025,Weekend,20:30,08:10,691,700,9,23,33,69.7,740,17020,137.7,DRV-0168,Sunny,Low,Completed
TRP-00085,RT-019,Faisalabad to Lahore,Blue Line Transit,QTA-8204,Hybrid,Faisalabad,Lahore,17-07-2025,Weekday,14:10,17:24,169,194,25,19,50,38.0,195,3705,24.6,DRV-0155,Sunny,High,Completed
TRP-00086,RT-044,Islamabad to Hyderabad,Green Line Express,QTA-5843,Standard,Islamabad,Hyderabad,06-06-2025,Weekday,18:45,17:47,1343,1382,39,19,40,47.5,1465,27835,422.4,DRV-0015,Cloudy,Low,Delayed
TRP-00087,RT-017,Islamabad to Faisalabad,Punjab Transit,KHI-8179,Hybrid,Islamabad,Faisalabad,18-01-2025,Weekend,08:05,--:--,371,0,0,0,46,0.0,405,0,0.0,DRV-0040,Sunny,High,Cancelled
TRP-00088,RT-018,Multan to Sialkot,Green Line Express,MUL-7012,AC,Multan,Sialkot,23-07-2025,Weekday,14:50,00:04,537,554,17,18,43,41.9,505,9090,151.3,DRV-0067,Sunny,Low,Completed
TRP-00089,RT-045,Faisalabad to Rawalpindi,National Express PK,KHI-2213,Standard,Faisalabad,Rawalpindi,20-08-2025,Weekday,09:55,17:26,396,451,55,23,37,62.2,365,8395,89.1,DRV-0075,Rainy,High,Completed
TRP-00090,RT-022,Sialkot to Islamabad,Pak Urban Transport,KHI-3275,Standard,Sialkot,Islamabad,02-05-2025,Weekday,19:00,01:09,331,369,38,25,46,54.3,305,7625,73.6,DRV-0123,Sunny,High,Delayed
TRP-00091,RT-026,Sialkot to Lahore,Green Line Express,ISB-2215,Standard,Sialkot,Lahore,19-08-2025,Weekday,18:50,22:25,162,215,53,22,39,56.4,190,4180,39.7,DRV-0015,Foggy,High,Completed
TRP-00092,RT-046,Hyderabad to Islamabad,Punjab Transit,QTA-4694,AC,Hyderabad,Islamabad,27-06-2025,Weekday,20:20,18:48,1309,1348,39,32,48,66.7,1490,47680,454.0,DRV-0024,Sunny,High,Completed
TRP-00093,RT-008,Rawalpindi to Islamabad,Punjab Transit,MUL-6531,Standard,Rawalpindi,Islamabad,16-10-2025,Weekday,05:00,06:41,49,101,52,20,36,55.6,80,1600,4.8,DRV-0164,Foggy,Moderate,Completed
TRP-00094,RT-009,Faisalabad to Islamabad,Capital Bus Service,SGD-7653,AC,Faisalabad,Islamabad,02-06-2025,Weekday,18:05,00:04,335,359,24,23,45,51.1,420,9660,97.2,DRV-0082,Sunny,Moderate,Completed
TRP-00095,RT-047,Multan to Peshawar,Sindh Rapid Transit,LEA-6228,AC,Multan,Peshawar,04-05-2025,Weekend,18:05,07:29,785,804,19,35,47,74.5,790,27650,236.8,DRV-0041,Sunny,Low,Completed
TRP-00096,RT-048,Sialkot to Multan,Punjab Transit,MUL-8648,AC,Sialkot,Multan,13-09-2025,Weekend,13:35,23:28,571,593,22,26,52,50.0,555,14430,152.0,DRV-0168,Cloudy,High,Completed
TRP-00097,RT-049,Faisalabad to Hyderabad,Green Line Express,ISB-6992,AC,Faisalabad,Hyderabad,26-07-2025,Weekend,15:00,07:18,966,978,12,44,58,75.9,1040,45760,286.6,DRV-0072,Cloudy,Low,Completed
TRP-00098,RT-026,Sialkot to Lahore,Green Line Express,SGD-6555,AC,Sialkot,Lahore,13-10-2025,Weekday,15:10,18:46,176,216,40,34,56,60.7,210,7140,45.0,DRV-0039,Sunny,Low,Delayed
TRP-00099,RT-046,Hyderabad to Islamabad,Sindh Rapid Transit,MUL-5902,Standard,Hyderabad,Islamabad,31-10-2025,Weekday,14:40,12:44,1313,1324,11,26,50,52.0,1615,41990,397.1,DRV-0029,Cloudy,Low,Completed
TRP-00100,RT-050,Faisalabad to Sialkot,City Metro Bus,ISB-4728,Electric,Faisalabad,Sialkot,27-01-2025,Weekday,22:35,04:04,299,329,30,49,60,81.7,280,13720,13.6,DRV-0029,Rainy,Moderate,Completed
TRP-00101,RT-011,Rawalpindi to Peshawar,Punjab Transit,KHI-7723,AC,Rawalpindi,Peshawar,14-09-2025,Weekend,19:55,23:50,209,235,26,32,44,72.7,260,8320,61.0,DRV-0118,Cloudy,Moderate,Completed
TRP-00102,RT-039,Multan to Hyderabad,Capital Bus Service,KHI-5038,Electric,Multan,Hyderabad,23-05-2025,Weekday,21:20,12:52,887,932,45,26,49,53.1,890,23140,47.7,DRV-0071,Rainy,Moderate,Completed
TRP-00103,RT-007,Lahore to Karachi,Blue Line Transit,PES-6654,Hybrid,Lahore,Karachi,16-03-2025,Weekend,13:00,09:56,1235,1256,21,22,37,59.5,1250,27500,227.6,DRV-0144,Sunny,Moderate,Completed
TRP-00104,RT-051,Lahore to Islamabad,Pak Urban Transport,QTA-9700,Standard,Lahore,Islamabad,26-04-2025,Weekend,11:00,18:37,457,457,0,44,45,97.8,490,21560,110.4,DRV-0041,Cloudy,Low,Completed
TRP-00105,RT-011,Rawalpindi to Peshawar,Pak Urban Transport,ISB-6262,Mini Bus,Rawalpindi,Peshawar,27-05-2025,Weekday,05:05,08:52,213,227,14,22,28,78.6,225,4950,28.3,DRV-0046,Cloudy,Moderate,Completed
TRP-00106,RT-052,Peshawar to Karachi,Punjab Transit,SGD-5742,Hybrid,Peshawar,Karachi,20-01-2025,Weekday,04:20,04:18,1380,1438,58,23,38,60.5,1770,40710,284.8,DRV-0035,Foggy,Moderate,Completed
TRP-00107,RT-053,Quetta to Faisalabad,Green Line Express,QTA-8518,AC,Quetta,Faisalabad,28-11-2025,Weekday,12:55,04:45,907,950,43,38,50,76.0,815,30970,252.2,DRV-0132,Rainy,Moderate,Completed
TRP-00108,RT-026,Sialkot to Lahore,Punjab Transit,PES-6301,Hybrid,Sialkot,Lahore,08-05-2025,Weekday,04:20,07:54,168,214,46,33,49,67.3,200,6600,26.6,DRV-0178,Rainy,High,Completed
TRP-00109,RT-017,Islamabad to Faisalabad,Capital Bus Service,QTA-9233,Standard,Islamabad,Faisalabad,27-12-2025,Weekend,13:55,20:32,382,397,15,26,44,59.1,380,9880,95.1,DRV-0156,Sunny,Low,Completed
TRP-00110,RT-021,Islamabad to Sialkot,National Express PK,SGD-4578,Mini Bus,Islamabad,Sialkot,07-05-2025,Weekday,06:40,12:53,324,373,49,19,30,63.3,310,5890,43.3,DRV-0039,Sunny,Moderate,Delayed
TRP-00111,RT-036,Faisalabad to Multan,Pak Urban Transport,PES-2489,Mini Bus,Faisalabad,Multan,19-09-2025,Weekday,18:00,23:02,290,302,12,18,33,54.5,305,5490,42.1,DRV-0001,Sunny,Moderate,Completed
TRP-00112,RT-026,Sialkot to Lahore,Sindh Rapid Transit,MUL-1987,Mini Bus,Sialkot,Lahore,05-02-2025,Weekday,19:00,22:56,172,236,64,23,27,85.2,205,4715,23.9,DRV-0098,Rainy,High,Completed
TRP-00113,RT-013,Lahore to Sialkot,Punjab Transit,ISB-2943,Electric,Lahore,Sialkot,02-04-2025,Weekday,21:30,01:23,161,233,72,26,47,55.3,200,5200,6.9,DRV-0098,Rainy,High,Completed
TRP-00114,RT-054,Rawalpindi to Quetta,Capital Bus Service,QTA-2848,Standard,Rawalpindi,Quetta,17-01-2025,Weekday,17:45,09:13,914,928,14,23,35,65.7,1080,24840,267.9,DRV-0013,Sunny,Low,Completed
