Trip_ID,Route_ID,Route_Name,Operator_Name,Bus_Number,Bus_Type,Departure_City,Arrival_City,Date,Day_Type,Departure_Time,Arrival_Time,Scheduled_Duration_Minutes,Actual_Duration_Minutes,Delay_Minutes,Passenger_Count,Bus_Capacity,Occupancy_Rate (%),Ticket_Fare_PKR,Ticket_Revenue_PKR,Fuel_Consumption_Liters,Driver_ID,Weather_Condition,Traffic_Level,Trip_Status,Departure_Hour,Arrival_Hour,Year,Month,Month_Number,Day,Weekday,Revenue_Category,Delay_Category,Occupancy_Category
TRP-00017,RT-015,Islamabad to Peshawar,City Metro Bus,PES-5533,Standard,Islamabad,Peshawar,2025-01-23,Weekday,04:25,08:30,225,245,20,17,43,39.53,245,4165,47.5,DRV-0177,Sunny,Moderate,Completed,4,8.0,2025,January,1,23,Thursday,Low,Moderate,Low
TRP-00018,RT-016,Karachi to Hyderabad,Punjab Transit,LEA-6050,AC,Karachi,Hyderabad,2025-07-06,Weekend,05:25,09:42,232,257,25,43,47,91.49,255,10965,60.3,DRV-0061,Cloudy,Moderate,Completed,5,9.0,2025,July,7,6,Sunday,Medium,Moderate,Full
TRP-00019,RT-015,Islamabad to Peshawar,Sindh Rapid Transit,PES-5065,Mini Bus,Islamabad,Peshawar,2025-05-17,Weekend,09:55,14:58,268,303,35,17,25,68.0,270,4590,32.5,DRV-0059,Rainy,Low,Completed,9,14.0,2025,May,5,17,Saturday,Low,High,High
TRP-00020,RT-017,Islamabad to Faisalabad,Sindh Rapid Transit,LEA-5573,Standard,Islamabad,Faisalabad,2025-06-29,Weekend,20:30,02:39,336,369,33,41,45,91.11,370,15170,94.5,DRV-0028,Foggy,Low,Completed,20,2.0,2025,June,6,29,Sunday,Medium,High,Full
TRP-00021,RT-018,Multan to Sialkot,Green Line Express,MUL-4114,AC,Multan,Sialkot,2025-05-11,Weekend,05:55,15:09,518,554,36,30,56,53.57,545,16350,137.0,DRV-0085,Foggy,Moderate,Completed,5,15.0,2025,May,5,11,Sunday,Medium,High,Medium
TRP-00022,RT-019,Faisalabad to Lahore,Blue Line Transit,QTA-5844,AC,Faisalabad,Lahore,2025-10-11,Weekend,08:15,11:39,173,204,31,35,52,67.31,200,7000,37.8,DRV-0074,Cloudy,High,Completed,8,11.0,2025,October,10,11,Saturday,Low,High,High
TRP-00023,RT-007,Lahore to Karachi,Sindh Rapid Transit,PES-4501,AC,Lahore,Karachi,2025-09-19,Weekday,19:55,17:23,1269,1288,19,29,42,69.05,1425,41325,373.5,DRV-0058,Sunny,High,Completed,19,17.0,2025,September,9,19,Friday,High,Moderate,High
TRP-00024,RT-020,Islamabad to Karachi,National Express PK,SGD-2193,Electric,Islamabad,Karachi,2025-08-22,Weekday,17:50,16:27,1353,1357,4,38,52,73.08,1590,60420,82.7,DRV-0057,Sunny,Moderate,Completed,17,16.0,2025,August,8,22,Friday,Very High,On Time,High
TRP-00025,RT-021,Islamabad to Sialkot,City Metro Bus,SGD-2988,AC,Islamabad,Sialkot,2025-08-22,Weekday,08:35,14:26,306,351,45,32,57,56.14,325,10400,81.3,DRV-0141,Cloudy,High,Completed,8,14.0,2025,August,8,22,Friday,Medium,High,Medium
TRP-00026,RT-008,Rawalpindi to Islamabad,National Express PK,SGD-5050,AC,Rawalpindi,Islamabad,2025-11-23,Weekend,12:40,13:56,62,76,14,31,60,51.67,80,2480,5.5,DRV-0139,Sunny,Moderate,Completed,12,13.0,2025,November,11,23,Sunday,Low,Minor,Medium
TRP-00027,RT-012,Islamabad to Rawalpindi,Punjab Transit,LEA-7797,Mini Bus,Islamabad,Rawalpindi,2025-07-28,Weekday,14:40,16:09,61,89,28,27,31,87.1,85,2295,3.1,DRV-0098,Sunny,High,Completed,14,16.0,2025,July,7,28,Monday,Low,Moderate,Full
TRP-00028,RT-004,Quetta to Multan,Blue Line Transit,SGD-7865,Mini Bus,Quetta,Multan,2025-10-03,Weekday,21:45,,571,0,0,0,32,0.0,695,0,0.0,DRV-0087,Sunny,Moderate,Cancelled,21,,2025,October,10,3,Friday,,On Time,
TRP-00029,RT-015,Islamabad to Peshawar,Punjab Transit,MUL-1441,Hybrid,Islamabad,Peshawar,2025-07-21,Weekday,22:45,02:37,231,232,1,18,37,48.65,265,4770,41.8,DRV-0084,Cloudy,Low,Completed,22,2.0,2025,July,7,21,Monday,Low,On Time,Medium
TRP-00030,RT-004,Quetta to Multan,Blue Line Transit,SGD-7906,Standard,Quetta,Multan,2025-05-10,Weekend,06:35,18:47,696,732,36,33,36,91.67,610,20130,148.8,DRV-0052,Dust Storm,Low,Completed,6,18.0,2025,May,5,10,Saturday,Medium,High,Full
TRP-00031,RT-022,Sialkot to Islamabad,National Express PK,MUL-4571,Electric,Sialkot,Islamabad,2025-08-27,Weekday,12:25,18:47,349,382,33,38,59,64.41,300,11400,14.4,DRV-0080,Dust Storm,Moderate,Completed,12,18.0,2025,August,8,27,Wednesday,Medium,High,High
TRP-00032,RT-023,Sialkot to Peshawar,Pak Urban Transport,QTA-4978,Standard,Sialkot,Peshawar,2025-02-22,Weekend,13:50,23:14,499,564,65,27,38,71.05,540,14580,124.7,DRV-0108,Rainy,Moderate,Delayed,13,23.0,2025,February,2,22,Saturday,Medium,Critical,High
TRP-00033,RT-024,Peshawar to Lahore,National Express PK,PES-3885,Mini Bus,Peshawar,Lahore,2025-09-25,Weekday,12:45,22:19,530,574,44,26,33,78.79,630,16380,90.8,DRV-0023,Rainy,Moderate,Completed,12,22.0,2025,September,9,25,Thursday,Medium,High,High
TRP-00034,RT-011,Rawalpindi to Peshawar,National Express PK,QTA-7209,AC,Rawalpindi,Peshawar,2025-06-22,Weekend,04:35,08:06,203,211,8,43,45,95.56,235,10105,56.3,DRV-0071,Sunny,Low,Completed,4,8.0,2025,June,6,22,Sunday,Medium,Minor,Full
TRP-00035,RT-025,Hyderabad to Rawalpindi,Blue Line Transit,SGD-4937,AC,Hyderabad,Rawalpindi,2025-12-20,Weekend,19:50,18:31,1335,1361,26,43,54,79.63,1480,63640,503.6,DRV-0142,Rainy,Low,Completed,19,18.0,2025,December,12,20,Saturday,Very High,Moderate,High
TRP-00036,RT-026,Sialkot to Lahore,Sindh Rapid Transit,PES-5438,AC,Sialkot,Lahore,2025-06-06,Weekday,12:15,15:36,180,201,21,21,46,45.65,180,3780,45.9,DRV-0124,Sunny,High,Completed,12,15.0,2025,June,6,6,Friday,Low,Moderate,Medium
TRP-00037,RT-007,Lahore to Karachi,Capital Bus Service,SGD-4180,Hybrid,Lahore,Karachi,2025-06-01,Weekend,11:25,08:56,1266,1291,25,27,35,77.14,1395,37665,229.8,DRV-0126,Cloudy,Low,Delayed,11,8.0,2025,June,6,1,Sunday,High,Moderate,High
TRP-00038,RT-005,Hyderabad to Karachi,National Express PK,ISB-4020,AC,Hyderabad,Karachi,2025-01-27,Weekday,12:35,16:35,239,240,1,18,42,42.86,220,3960,58.3,DRV-0145,Sunny,Low,Completed,12,16.0,2025,January,1,27,Monday,Low,On Time,Medium
TRP-00039,RT-027,Lahore to Rawalpindi,Blue Line Transit,SGD-4697,Electric,Lahore,Rawalpindi,2025-09-25,Weekday,16:35,23:50,376,435,59,41,49,83.67,470,19270,24.0,DRV-0026,Foggy,High,Completed,16,23.0,2025,September,9,25,Thursday,Medium,High,Full
TRP-00040,RT-028,Rawalpindi to Sialkot,Green Line Express,KHI-2229,Standard,Rawalpindi,Sialkot,2025-03-22,Weekend,04:30,09:47,303,317,14,24,50,48.0,320,7680,59.2,DRV-0068,Sunny,Low,Completed,4,9.0,2025,March,3,22,Saturday,Low,Minor,Medium
TRP-00041,RT-029,Sialkot to Rawalpindi,Pak Urban Transport,ISB-3330,Electric,Sialkot,Rawalpindi,2025-02-06,Weekday,05:10,10:22,278,312,34,41,59,69.49,300,12300,12.8,DRV-0070,Rainy,Moderate,Completed,5,10.0,2025,February,2,6,Thursday,Medium,High,High
TRP-00042,RT-011,Rawalpindi to Peshawar,City Metro Bus,QTA-6280,Hybrid,Rawalpindi,Peshawar,2025-11-06,Weekday,12:00,16:53,248,293,45,20,35,57.14,255,5100,35.9,DRV-0167,Dust Storm,Moderate,Completed,12,16.0,2025,November,11,6,Thursday,Low,High,Medium
TRP-00043,RT-030,Peshawar to Islamabad,Blue Line Transit,PES-2494,Electric,Peshawar,Islamabad,2025-08-29,Weekday,15:30,20:22,252,292,40,35,43,81.4,250,8750,10.2,DRV-0141,Rainy,Low,Completed,15,20.0,2025,August,8,29,Friday,Low,High,Full
TRP-00044,RT-031,Lahore to Faisalabad,Sindh Rapid Transit,SGD-7622,Standard,Lahore,Faisalabad,2025-09-21,Weekend,04:50,07:39,154,169,15,41,49,83.67,195,7995,35.7,DRV-0053,Sunny,Low,Completed,4,7.0,2025,September,9,21,Sunday,Low,Minor,Full
TRP-00045,RT-008,Rawalpindi to Islamabad,National Express PK,PES-2989,Hybrid,Rawalpindi,Islamabad,2025-01-15,Weekday,11:55,13:18,52,83,31,30,44,68.18,85,2550,3.2,DRV-0040,Cloudy,Moderate,Delayed,11,13.0,2025,January,1,15,Wednesday,Low,High,High
TRP-00046,RT-022,Sialkot to Islamabad,Capital Bus Service,PES-8736,AC,Sialkot,Islamabad,2025-05-05,Weekday,18:40,01:01,352,381,29,24,46,52.17,340,8160,79.8,DRV-0130,Foggy,Moderate,Completed,18,1.0,2025,May,5,5,Monday,Low,Moderate,Medium
TRP-00047,RT-016,Karachi to Hyderabad,Capital Bus Service,MUL-9022,Mini Bus,Karachi,Hyderabad,2025-03-18,Weekday,18:40,22:32,216,232,16,25,30,83.33,225,5625,32.0,DRV-0062,Cloudy,Moderate,Completed,18,22.0,2025,March,3,18,Tuesday,Low,Moderate,Full
TRP-00048,RT-011,Rawalpindi to Peshawar,National Express PK,SGD-7246,Mini Bus,Rawalpindi,Peshawar,2025-07-17,Weekday,08:35,12:10,197,215,18,17,27,62.96,255,4335,31.8,DRV-0117,Cloudy,Moderate,Completed,8,12.0,2025,July,7,17,Thursday,Low,Moderate,High
TRP-00049,RT-012,Islamabad to Rawalpindi,Punjab Transit,SGD-5342,Standard,Islamabad,Rawalpindi,2025-06-23,Weekday,16:50,18:44,49,114,65,36,45,80.0,85,3060,4.3,DRV-0018,Rainy,High,Completed,16,18.0,2025,June,6,23,Monday,Low,Critical,High
TRP-00050,RT-009,Faisalabad to Islamabad,Pak Urban Transport,PES-2612,Mini Bus,Faisalabad,Islamabad,2025-11-21,Weekday,07:35,14:23,378,408,30,16,29,55.17,395,6320,57.1,DRV-0038,Foggy,Low,Completed,7,14.0,2025,November,11,21,Friday,Low,Moderate,Medium
TRP-00051,RT-026,Sialkot to Lahore,Punjab Transit,LEA-7267,Standard,Sialkot,Lahore,2025-11-14,Weekday,11:35,14:26,147,171,24,31,39,79.49,180,5580,32.4,DRV-0174,Sunny,High,Completed,11,14.0,2025,November,11,14,Friday,Low,Moderate,High
TRP-00052,RT-031,Lahore to Faisalabad,Sindh Rapid Transit,ISB-7951,Hybrid,Lahore,Faisalabad,2025-12-20,Weekend,12:35,16:40,155,245,90,39,41,95.12,185,7215,27.5,DRV-0169,Dust Storm,High,Delayed,12,16.0,2025,December,12,20,Saturday,Low,Critical,Full
TRP-00053,RT-005,Hyderabad to Karachi,City Metro Bus,QTA-9138,Hybrid,Hyderabad,Karachi,2025-05-27,Weekday,11:45,15:38,199,233,34,17,42,40.48,230,3910,33.9,DRV-0161,Cloudy,High,Completed,11,15.0,2025,May,5,27,Tuesday,Low,High,Medium
TRP-00054,RT-032,Faisalabad to Quetta,Sindh Rapid Transit,LEA-5835,Mini Bus,Faisalabad,Quetta,2025-06-17,Weekday,17:10,08:37,904,927,23,16,33,48.48,920,14720,131.6,DRV-0124,Foggy,Low,Completed,17,8.0,2025,June,6,17,Tuesday,Medium,Moderate,Medium
TRP-00055,RT-014,Multan to Faisalabad,National Express PK,KHI-4696,Hybrid,Multan,Faisalabad,2025-12-13,Weekend,16:40,21:57,297,317,20,32,47,68.09,290,9280,47.9,DRV-0096,Sunny,Moderate,Completed,16,21.0,2025,December,12,13,Saturday,Low,Moderate,High
TRP-00056,RT-033,Multan to Lahore,Sindh Rapid Transit,KHI-2035,Hybrid,Multan,Lahore,2025-11-22,Weekend,18:55,02:03,395,428,33,28,48,58.33,405,11340,62.5,DRV-0035,Sunny,Low,Delayed,18,2.0,2025,November,11,22,Saturday,Medium,High,Medium
TRP-00057,RT-034,Multan to Quetta,Blue Line Transit,QTA-3531,Electric,Multan,Quetta,2025-08-01,Weekday,07:35,17:48,606,613,7,37,48,77.08,630,23310,31.6,DRV-0026,Sunny,Low,Completed,7,17.0,2025,August,8,1,Friday,Medium,Minor,High
TRP-00058,RT-035,Hyderabad to Multan,Sindh Rapid Transit,ISB-4109,Standard,Hyderabad,Multan,2025-03-04,Weekday,18:05,07:47,804,822,18,16,35,45.71,910,14560,231.4,DRV-0142,Sunny,Low,Completed,18,7.0,2025,March,3,4,Tuesday,Medium,Moderate,Medium
TRP-00059,RT-006,Lahore to Multan,Pak Urban Transport,KHI-1046,AC,Lahore,Multan,2025-05-22,Weekday,08:10,15:17,374,427,53,16,45,35.56,430,6880,121.6,DRV-0068,Sunny,High,Delayed,8,15.0,2025,May,5,22,Thursday,Low,High,Low
TRP-00060,RT-022,Sialkot to Islamabad,Green Line Express,PES-8344,Mini Bus,Sialkot,Islamabad,2025-07-05,Weekend,20:45,03:03,355,378,23,26,33,78.79,340,8840,41.7,DRV-0016,Sunny,Moderate,Completed,20,3.0,2025,July,7,5,Saturday,Low,Moderate,High
TRP-00061,RT-023,Sialkot to Peshawar,National Express PK,PES-2204,Mini Bus,Sialkot,Peshawar,2025-02-11,Weekday,14:45,00:18,554,573,19,23,27,85.19,585,13455,85.7,DRV-0136,Sunny,Moderate,Completed,14,0.0,2025,February,2,11,Tuesday,Medium,Moderate,Full
TRP-00062,RT-014,Multan to Faisalabad,Green Line Express,LEA-4522,Mini Bus,Multan,Faisalabad,2025-08-09,Weekend,18:15,23:25,293,310,17,20,32,62.5,310,6200,44.5,DRV-0122,Sunny,Moderate,Completed,18,23.0,2025,August,8,9,Saturday,Low,Moderate,High
TRP-00063,RT-031,Lahore to Faisalabad,Green Line Express,ISB-3131,Mini Bus,Lahore,Faisalabad,2025-10-12,Weekend,05:45,08:29,151,164,13,31,33,93.94,195,6045,21.7,DRV-0074,Sunny,Low,Completed,5,8.0,2025,October,10,12,Sunday,Low,Minor,Full
TRP-00064,RT-006,Lahore to Multan,Pak Urban Transport,PES-4674,Standard,Lahore,Multan,2025-02-25,Weekday,15:40,22:57,389,437,48,30,43,69.77,405,12150,95.8,DRV-0143,Cloudy,High,Completed,15,22.0,2025,February,2,25,Tuesday,Medium,High,High
TRP-00065,RT-009,Faisalabad to Islamabad,Capital Bus Service,ISB-6062,Standard,Faisalabad,Islamabad,2025-06-23,Weekday,15:00,21:39,376,399,23,15,39,38.46,415,6225,98.4,DRV-0136,Cloudy,Moderate,Completed,15,21.0,2025,June,6,23,Monday,Low,Moderate,Low
TRP-00066,RT-013,Lahore to Sialkot,Punjab Transit,QTA-6314,AC,Lahore,Sialkot,2025-10-18,Weekend,06:00,09:12,179,192,13,42,59,71.19,180,7560,41.1,DRV-0070,Sunny,Low,Completed,6,9.0,2025,October,10,18,Saturday,Low,Minor,High
TRP-00067,RT-036,Faisalabad to Multan,Blue Line Transit,QTA-8972,Standard,Faisalabad,Multan,2025-09-27,Weekend,13:00,18:13,309,313,4,30,36,83.33,290,8700,58.9,DRV-0031,Sunny,Low,Completed,13,18.0,2025,September,9,27,Saturday,Low,On Time,Full
TRP-00068,RT-022,Sialkot to Islamabad,Punjab Transit,QTA-4770,AC,Sialkot,Islamabad,2025-09-14,Weekend,21:50,03:03,295,313,18,39,42,92.86,300,11700,77.2,DRV-0147,Sunny,Moderate,Completed,21,3.0,2025,September,9,14,Sunday,Medium,Moderate,Full
TRP-00069,RT-017,Islamabad to Faisalabad,Green Line Express,ISB-3815,AC,Islamabad,Faisalabad,2025-11-13,Weekday,18:55,00:27,320,332,12,26,42,61.9,425,11050,98.9,DRV-0102,Sunny,Low,Completed,18,0.0,2025,November,11,13,Thursday,Medium,Minor,High
TRP-00070,RT-037,Multan to Rawalpindi,Punjab Transit,QTA-2868,Standard,Multan,Rawalpindi,2025-09-29,Weekday,20:15,06:27,591,612,21,18,46,39.13,675,12150,174.7,DRV-0066,Sunny,High,Completed,20,6.0,2025,September,9,29,Monday,Medium,Moderate,Low
TRP-00071,RT-038,Karachi to Lahore,Green Line Express,SGD-9095,Standard,Karachi,Lahore,2025-08-26,Weekday,22:45,19:29,1193,1244,51,30,45,66.67,1310,39300,387.2,DRV-0071,Foggy,High,Completed,22,19.0,2025,August,8,26,Tuesday,High,High,High
TRP-00072,RT-039,Multan to Hyderabad,National Express PK,LEA-7041,AC,Multan,Hyderabad,2025-05-27,Weekday,06:50,20:00,770,790,20,24,42,57.14,915,21960,231.1,DRV-0147,Cloudy,Moderate,Completed,6,20.0,2025,May,5,27,Tuesday,Medium,Moderate,Medium
TRP-00073,RT-004,Quetta to Multan,City Metro Bus,SGD-6626,AC,Quetta,Multan,2025-02-13,Weekday,20:50,08:35,671,705,34,25,47,53.19,655,16375,174.8,DRV-0073,Cloudy,High,Completed,20,8.0,2025,February,2,13,Thursday,Medium,High,Medium
TRP-00074,RT-034,Multan to Quetta,City Metro Bus,QTA-6482,Mini Bus,Multan,Quetta,2025-02-03,Weekday,14:05,00:43,614,638,24,16,31,51.61,630,10080,91.6,DRV-0150,Sunny,Moderate,Completed,14,0.0,2025,February,2,3,Monday,Medium,Moderate,Medium
TRP-00075,RT-036,Faisalabad to Multan,Blue Line Transit,QTA-2388,Standard,Faisalabad,Multan,2025-06-08,Weekend,21:30,02:43,276,313,37,30,45,66.67,300,9000,63.2,DRV-0080,Rainy,Moderate,Completed,21,2.0,2025,June,6,8,Sunday,Low,High,High
TRP-00076,RT-033,Multan to Lahore,National Express PK,KHI-3538,Standard,Multan,Lahore,2025-02-09,Weekend,13:05,20:03,377,418,41,18,36,50.0,390,7020,92.3,DRV-0178,Cloudy,High,Completed,13,20.0,2025,February,2,9,Sunday,Low,High,Medium
TRP-00077,RT-040,Islamabad to Quetta,Sindh Rapid Transit,KHI-8277,Electric,Islamabad,Quetta,2025-11-09,Weekend,13:55,05:30,920,935,15,41,47,87.23,1190,48790,57.6,DRV-0174,Cloudy,Low,Completed,13,5.0,2025,November,11,9,Sunday,High,Minor,Full
TRP-00078,RT-041,Sialkot to Quetta,Blue Line Transit,PES-3655,AC,Sialkot,Quetta,2025-04-13,Weekend,08:20,01:22,969,1022,53,45,55,81.82,955,42975,294.4,DRV-0132,Foggy,Moderate,Delayed,8,1.0,2025,April,4,13,Sunday,High,High,Full
TRP-00079,RT-013,Lahore to Sialkot,Pak Urban Transport,ISB-1436,Mini Bus,Lahore,Sialkot,2025-08-01,Weekday,05:30,08:22,162,172,10,23,28,82.14,210,4830,21.6,DRV-0167,Sunny,Low,Completed,5,8.0,2025,August,8,1,Friday,Low,Minor,Full
TRP-00080,RT-012,Islamabad to Rawalpindi,Capital Bus Service,PES-3273,Hybrid,Islamabad,Rawalpindi,2025-12-28,Weekend,19:35,20:41,47,66,19,23,37,62.16,80,1840,3.3,DRV-0029,Sunny,Low,Completed,19,20.0,2025,December,12,28,Sunday,Low,Moderate,High
TRP-00081,RT-042,Rawalpindi to Faisalabad,Pak Urban Transport,SGD-8489,AC,Rawalpindi,Faisalabad,2025-02-02,Weekend,07:35,14:14,381,399,18,18,40,45.0,365,6570,103.9,DRV-0147,Cloudy,Moderate,Completed,7,14.0,2025,February,2,2,Sunday,Low,Moderate,Medium
TRP-00082,RT-009,Faisalabad to Islamabad,Sindh Rapid Transit,MUL-9914,Standard,Faisalabad,Islamabad,2025-09-17,Weekday,20:40,03:11,391,391,0,26,50,52.0,385,10010,93.3,DRV-0018,Sunny,Low,Completed,20,3.0,2025,September,9,17,Wednesday,Medium,On Time,Medium
TRP-00083,RT-021,Islamabad to Sialkot,Green Line Express,QTA-6447,Mini Bus,Islamabad,Sialkot,2025-03-10,Weekday,05:25,11:00,315,335,20,26,35,74.29,330,8580,45.6,DRV-0017,Sunny,Moderate,Completed,5,11.0,2025,March,3,10,Monday,Low,Moderate,High
TRP-00084,RT-043,Quetta to Karachi,City Metro Bus,LEA-6170,Mini Bus,Quetta,Karachi,2025-06-08,Weekend,20:30,08:10,691,700,9,23,33,69.7,740,17020,137.7,DRV-0168,Sunny,Low,Completed,20,8.0,2025,June,6,8,Sunday,Medium,Minor,High
TRP-00085,RT-019,Faisalabad to Lahore,Blue Line Transit,QTA-8204,Hybrid,Faisalabad,Lahore,2025-07-17,Weekday,14:10,17:24,169,194,25,19,50,38.0,195,3705,24.6,DRV-0155,Sunny,High,Completed,14,17.0,2025,July,7,17,Thursday,Low,Moderate,Low
TRP-00086,RT-044,Islamabad to Hyderabad,Green Line Express,QTA-5843,Standard,Islamabad,Hyderabad,2025-06-06,Weekday,18:45,17:47,1343,1382,39,19,40,47.5,1465,27835,422.4,DRV-0015,Cloudy,Low,Delayed,18,17.0,2025,June,6,6,Friday,High,High,Medium
TRP-00087,RT-017,Islamabad to Faisalabad,Punjab Transit,KHI-8179,Hybrid,Islamabad,Faisalabad,2025-01-18,Weekend,08:05,,371,0,0,0,46,0.0,405,0,0.0,DRV-0040,Sunny,High,Cancelled,8,,2025,January,1,18,Saturday,,On Time,
TRP-00088,RT-018,Multan to Sialkot,Green Line Express,MUL-7012,AC,Multan,Sialkot,2025-07-23,Weekday,14:50,00:04,537,554,17,18,43,41.86,505,9090,151.3,DRV-0067,Sunny,Low,Completed,14,0.0,2025,July,7,23,Wednesday,Low,Moderate,Medium
TRP-00089,RT-045,Faisalabad to Rawalpindi,National Express PK,KHI-2213,Standard,Faisalabad,Rawalpindi,2025-08-20,Weekday,09:55,17:26,396,451,55,23,37,62.16,365,8395,89.1,DRV-0075,Rainy,High,Completed,9,17.0,2025,August,8,20,Wednesday,Low,High,High
TRP-00090,RT-022,Sialkot to Islamabad,Pak Urban Transport,KHI-3275,Standard,Sialkot,Islamabad,2025-05-02,Weekday,19:00,01:09,331,369,38,25,46,54.35,305,7625,73.6,DRV-0123,Sunny,High,Delayed,19,1.0,2025,May,5,2,Friday,Low,High,Medium
